Date,Open*,High,Low,Close,Volume,Market Cap
"Dec 21, 2021",$3.15,$3.26,$3.10,$3.24,"$33,278,344","$1,060,085,912"
"Dec 20, 2021",$3.19,$3.23,$2.95,$3.14,"$49,220,725","$1,025,616,906"
"Dec 19, 2021",$3.23,$3.33,$3.16,$3.18,"$28,451,221","$1,035,309,741"
"Dec 18, 2021",$3.18,$3.34,$3.12,$3.23,"$28,012,924","$1,048,818,367"
"Dec 17, 2021",$3.31,$3.35,$3.10,$3.17,"$35,625,238","$1,026,578,223"
"Dec 16, 2021",$3.53,$3.64,$3.30,$3.31,"$32,692,804","$1,069,224,018"
"Dec 15, 2021",$3.23,$3.72,$3.04,$3.53,"$49,556,321","$1,135,174,139"
,,,,,,
"Dec 14, 2021",$3.21,$3.33,$3.08,$3.13,"$35,623,682","$1,005,146,715"
"Dec 13, 2021",$3.65,$3.68,$3.16,$3.22,"$39,728,864","$1,029,112,749"
"Dec 12, 2021",$3.58,$3.77,$3.53,$3.64,"$29,067,424","$1,163,517,021"
"Dec 11, 2021",$3.45,$3.62,$3.38,$3.59,"$30,094,598","$1,142,787,037"
"Dec 10, 2021",$3.55,$3.75,$3.44,$3.44,"$33,872,465","$1,091,961,097"
"Dec 09, 2021",$3.96,$3.97,$3.53,$3.55,"$41,016,948","$1,123,723,843"
"Dec 08, 2021",$3.92,$4.00,$3.68,$3.96,"$48,608,347","$1,250,645,810"
"Dec 07, 2021",$3.82,$4.15,$3.71,$3.91,"$53,465,250","$1,230,661,655"
"Dec 06, 2021",$3.52,$3.98,$3.23,$3.82,"$84,065,462","$1,199,285,489"
"Dec 05, 2021",$3.84,$3.89,$3.42,$3.52,"$51,199,861","$1,100,530,013"
"Dec 04, 2021",$4.21,$4.22,$3.41,$3.84,"$90,859,597","$1,196,173,989"
"Dec 03, 2021",$4.37,$4.47,$4.15,$4.18,"$60,390,573","$1,299,134,021"
"Dec 02, 2021",$4.54,$4.54,$4.32,$4.37,"$55,429,664","$1,353,902,716"
"Dec 01, 2021",$4.53,$4.69,$4.52,$4.54,"$59,255,063","$1,403,334,353"
"Nov 30, 2021",$4.83,$4.86,$4.54,$4.55,"$69,980,047","$1,402,044,850"
"Nov 29, 2021",$4.79,$4.91,$4.64,$4.81,"$58,374,333","$1,478,065,320"
"Nov 28, 2021",$4.72,$4.80,$4.41,$4.77,"$60,928,113","$1,462,205,256"
"Nov 27, 2021",$4.58,$5.18,$4.57,$4.73,"$101,792,362","$1,442,896,693"
"Nov 26, 2021",$5.01,$5.05,$4.38,$4.56,"$100,946,545","$1,388,606,330"
"Nov 25, 2021",$5.20,$5.49,$4.85,$5.05,"$206,259,242","$1,530,297,054"
"Nov 24, 2021",$4.49,$5.29,$4.40,$4.46,"$83,628,944","$1,345,951,602"
"Nov 23, 2021",$4.38,$4.72,$4.38,$4.49,"$97,850,577","$1,354,121,526"
"Nov 22, 2021",$4.47,$4.69,$4.29,$4.38,"$68,089,302","$1,317,336,674"
"Nov 21, 2021",$4.62,$4.82,$4.39,$4.47,"$79,670,831","$1,340,619,910"
"Nov 20, 2021",$4.72,$4.89,$4.39,$4.62,"$79,912,659","$1,379,180,453"
"Nov 19, 2021",$4.20,$4.88,$4.16,$4.71,"$101,751,196","$1,405,098,320"
"Nov 18, 2021",$4.64,$4.83,$4.10,$4.20,"$90,344,003","$1,247,742,717"
"Nov 17, 2021",$4.48,$4.83,$4.36,$4.65,"$96,181,971","$1,375,278,357"
"Nov 16, 2021",$5.08,$5.08,$4.43,$4.49,"$125,789,377","$1,324,970,907"
"Nov 15, 2021",$5.34,$5.65,$5.05,$5.07,"$114,627,298","$1,491,927,723"
"Nov 14, 2021",$5.48,$5.55,$5.07,$5.35,"$98,748,258","$1,570,517,476"
"Nov 13, 2021",$5.63,$6.03,$5.37,$5.48,"$134,660,684","$1,601,829,365"
"Nov 12, 2021",$5.89,$6.33,$5.31,$5.63,"$329,772,481","$1,640,161,540"
"Nov 11, 2021",$5.13,$6.57,$4.94,$5.89,"$767,902,516","$1,710,309,859"
"Nov 10, 2021",$4.27,$5.91,$4.18,$5.14,"$452,767,533","$1,490,415,512"
